#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ExactStructuredCoalescent">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
0	0.00102	0.01	2.0	4.0	-105.07899000747686
1	0.0010404000000000001	0.01	2.0	4.0	-105.05853969311273
2	0.0010612080000000001	0.01	2.0	4.0	-105.0380798487505
3	0.0010824321600000002	0.01	2.0	4.0	-105.01761040890857
4	0.0011040808032000001	0.01	2.0	4.0	-104.99713131112105
5	0.0011261624192640003	0.01	2.0	4.0	-104.97664249613396
6	0.0011486856676492802	0.01	2.0	4.0	-104.95614390810903
7	0.0011716593810022658	0.01	2.0	4.0	-104.93563549483488
8	0.0011950925686223112	0.01	2.0	4.0	-104.91511720794648
9	0.0012189944199947574	0.01	2.0	4.0	-104.8945890031523
10	0.0012433743083946527	0.01	2.0	4.0	-104.87405084047
11	0.0012682417945625458	0.01	2.0	4.0	-104.85350268447039
12	0.0012936066304537967	0.01	2.0	4.0	-104.83294450453039
13	0.0013194787630628727	0.01	2.0	4.0	-104.81237627509459
14	0.00134586833832413	0.01	2.0	4.0	-104.79179797594622
15	0.0013727857050906127	0.01	2.0	4.0	-104.7712095924873
16	0.001400241419192425	0.01	2.0	4.0	-104.75061111602841
17	0.0014282462475762735	0.01	2.0	4.0	-104.73000254408834
18	0.001456811172527799	0.01	2.0	4.0	-104.70938388070368
19	0.001485947395978355	0.01	2.0	4.0	-104.68875513674861
20	0.001515666343897922	0.01	2.0	4.0	-104.66811633026528
21	0.0015459796707758804	0.01	2.0	4.0	-104.64746748680474
22	0.001576899264191398	0.01	2.0	4.0	-104.62680863977903
23	0.001608437249475226	0.01	2.0	4.0	-104.60613983082393
24	0.0016406059944647305	0.01	2.0	4.0	-104.58546111017367
25	0.001673418114354025	0.01	2.0	4.0	-104.5647725370467
26	0.0017068864766411056	0.01	2.0	4.0	-104.54407418004358
27	0.0017410242061739278	0.01	2.0	4.0	-104.52336611755686
28	0.0017758446902974064	0.01	2.0	4.0	-104.502648438193
29	0.0018113615841033545	0.01	2.0	4.0	-104.48192124120686
30	0.0018475888157854217	0.01	2.0	4.0	-104.46118463694907
31	0.0018845405921011301	0.01	2.0	4.0	-104.44043874732593
32	0.0019222314039431527	0.01	2.0	4.0	-104.41968370627256
33	0.001960676032022016	0.01	2.0	4.0	-104.3989196602395
34	0.001999889552662456	0.01	2.0	4.0	-104.37814676869253
35	0.0020398873437157054	0.01	2.0	4.0	-104.35736520462635
36	0.0020806850905900195	0.01	2.0	4.0	-104.33657515509216
37	0.00212229879240182	0.01	2.0	4.0	-104.31577682173932
38	0.0021647447682498562	0.01	2.0	4.0	-104.29497042137118
39	0.0022080396636148534	0.01	2.0	4.0	-104.2741561865154
40	0.0022522004568871503	0.01	2.0	4.0	-104.25333436600913
41	0.0022972444660248935	0.01	2.0	4.0	-104.23250522559852
42	0.0023431893553453914	0.01	2.0	4.0	-104.21166904855362
43	0.002390053142452299	0.01	2.0	4.0	-104.19082613629814
44	0.002437854205301345	0.01	2.0	4.0	-104.16997680905459
45	0.002486611289407372	0.01	2.0	4.0	-104.14912140650473
46	0.0025363435151955194	0.01	2.0	4.0	-104.12826028846567
47	0.00258707038549943	0.01	2.0	4.0	-104.10739383558149
48	0.0026388117932094187	0.01	2.0	4.0	-104.08652245003081
49	0.002691588029073607	0.01	2.0	4.0	-104.06564655625012
50	0.0027454197896550794	0.01	2.0	4.0	-104.0447666016731
51	0.002800328185448181	0.01	2.0	4.0	-104.02388305748622
52	0.0028563347491571446	0.01	2.0	4.0	-104.00299641940029
53	0.0029134614441402875	0.01	2.0	4.0	-103.98210720843825
54	0.002971730673023093	0.01	2.0	4.0	-103.96121597173958
55	0.003031165286483555	0.01	2.0	4.0	-103.94032328338065
56	0.003091788592213226	0.01	2.0	4.0	-103.91942974521177
57	0.0031536243640574906	0.01	2.0	4.0	-103.8985359877107
58	0.0032166968513386404	0.01	2.0	4.0	-103.87764267085238
59	0.003281030788365413	0.01	2.0	4.0	-103.85675048499546
60	0.0033466514041327216	0.01	2.0	4.0	-103.83586015178511
61	0.0034135844322153762	0.01	2.0	4.0	-103.81497242507244
62	0.003481856120859684	0.01	2.0	4.0	-103.79408809185037
63	0.0035514932432768776	0.01	2.0	4.0	-103.77320797320588
64	0.003622523108142415	0.01	2.0	4.0	-103.75233292528894
65	0.0036949735703052634	0.01	2.0	4.0	-103.73146384029737
66	0.0037688730417113686	0.01	2.0	4.0	-103.71060164747851
67	0.003844250502545596	0.01	2.0	4.0	-103.68974731414694
68	0.003921135512596508	0.01	2.0	4.0	-103.66890184671828
69	0.003999558222848438	0.01	2.0	4.0	-103.64806629175936
70	0.0040795493873054065	0.01	2.0	4.0	-103.6272417370543
71	0.004161140375051515	0.01	2.0	4.0	-103.6064293126865
72	0.004244363182552545	0.01	2.0	4.0	-103.58563019213656
73	0.004329250446203596	0.01	2.0	4.0	-103.56484559339589
74	0.004415835455127668	0.01	2.0	4.0	-103.54407678009599
75	0.004504152164230221	0.01	2.0	4.0	-103.52332506265314
76	0.004594235207514826	0.01	2.0	4.0	-103.50259179942859
77	0.004686119911665123	0.01	2.0	4.0	-103.48187839790391
78	0.004779842309898425	0.01	2.0	4.0	-103.46118631587164
79	0.004875439156096393	0.01	2.0	4.0	-103.44051706264067
80	0.004972947939218321	0.01	2.0	4.0	-103.4198722002567
81	0.005072406898002688	0.01	2.0	4.0	-103.39925334473742
82	0.005173855035962741	0.01	2.0	4.0	-103.37866216732215
83	0.0052773321366819965	0.01	2.0	4.0	-103.35810039573609
84	0.005382878779415637	0.01	2.0	4.0	-103.33756981546887
85	0.00549053635500395	0.01	2.0	4.0	-103.3170722710673
86	0.005600347082104029	0.01	2.0	4.0	-103.29660966744216
87	0.0057123540237461095	0.01	2.0	4.0	-103.2761839711891
88	0.005826601104221032	0.01	2.0	4.0	-103.2557972119233
89	0.005943133126305453	0.01	2.0	4.0	-103.23545148362797
90	0.006061995788831562	0.01	2.0	4.0	-103.21514894601647
91	0.0061832357046081934	0.01	2.0	4.0	-103.19489182590809
92	0.006306900418700357	0.01	2.0	4.0	-103.17468241861734
93	0.006433038427074365	0.01	2.0	4.0	-103.15452308935666
94	0.006561699195615852	0.01	2.0	4.0	-103.13441627465275
95	0.006692933179528169	0.01	2.0	4.0	-103.11436448377601
96	0.006826791843118732	0.01	2.0	4.0	-103.09437030018375
97	0.006963327679981107	0.01	2.0	4.0	-103.0744363829765
98	0.00710259423358073	0.01	2.0	4.0	-103.05456546836791
99	0.007244646118252344	0.01	2.0	4.0	-103.03476037116816
100	0.007389539040617391	0.01	2.0	4.0	-103.01502398628097
101	0.007537329821429739	0.01	2.0	4.0	-102.99535929021408
102	0.007688076417858334	0.01	2.0	4.0	-102.97576934260366
103	0.0078418379462155	0.01	2.0	4.0	-102.9562572877528
104	0.007998674705139812	0.01	2.0	4.0	-102.93682635618376
105	0.008158648199242608	0.01	2.0	4.0	-102.91747986620476
106	0.00832182116322746	0.01	2.0	4.0	-102.89822122549127
107	0.008488257586492009	0.01	2.0	4.0	-102.87905393268204
108	0.00865802273822185	0.01	2.0	4.0	-102.85998157899024
109	0.008831183192986286	0.01	2.0	4.0	-102.84100784983004
110	0.009007806856846013	0.01	2.0	4.0	-102.82213652645885
111	0.009187962993982933	0.01	2.0	4.0	-102.80337148763587
112	0.009371722253862591	0.01	2.0	4.0	-102.78471671129707
113	0.009559156698939843	0.01	2.0	4.0	-102.76617627624724
114	0.00975033983291864	0.01	2.0	4.0	-102.74775436386966
115	0.009945346629577013	0.01	2.0	4.0	-102.72945525985364
116	0.010144253562168554	0.01	2.0	4.0	-102.71128335594094
117	0.010347138633411924	0.01	2.0	4.0	-102.6932431516913
118	0.010554081406080162	0.01	2.0	4.0	-102.67533925626776
119	0.010765163034201766	0.01	2.0	4.0	-102.65757639024262
120	0.010980466294885801	0.01	2.0	4.0	-102.63995938742494
121	0.011200075620783517	0.01	2.0	4.0	-102.62249319670953
122	0.011424077133199187	0.01	2.0	4.0	-102.60518288394937
123	0.011652558675863171	0.01	2.0	4.0	-102.58803363385135
124	0.011885609849380434	0.01	2.0	4.0	-102.57105075189679
125	0.012123322046368044	0.01	2.0	4.0	-102.55423966628717
126	0.012365788487295405	0.01	2.0	4.0	-102.53760592991671
127	0.012613104257041314	0.01	2.0	4.0	-102.52115522237199
128	0.01286536634218214	0.01	2.0	4.0	-102.50489335196025
129	0.013122673669025782	0.01	2.0	4.0	-102.4888262577673
130	0.013385127142406299	0.01	2.0	4.0	-102.47296001174578
131	0.013652829685254424	0.01	2.0	4.0	-102.45730082083561
132	0.013925886278959514	0.01	2.0	4.0	-102.44185502911714
133	0.014204404004538705	0.01	2.0	4.0	-102.4266291199986
134	0.01448849208462948	0.01	2.0	4.0	-102.41162971843904
135	0.014778261926322069	0.01	2.0	4.0	-102.39686359320808
136	0.01507382716484851	0.01	2.0	4.0	-102.38233765918358
137	0.01537530370814548	0.01	2.0	4.0	-102.36805897968888
138	0.01568280978230839	0.01	2.0	4.0	-102.35403476887093
139	0.01599646597795456	0.01	2.0	4.0	-102.34027239412056
140	0.01631639529751365	0.01	2.0	4.0	-102.32677937853667
141	0.016642723203463924	0.01	2.0	4.0	-102.31356340343535
142	0.016975577667533204	0.01	2.0	4.0	-102.3006323109062
143	0.01731508922088387	0.01	2.0	4.0	-102.28799410641645
144	0.017661391005301546	0.01	2.0	4.0	-102.2756569614654
145	0.01801461882540758	0.01	2.0	4.0	-102.26362921629001
146	0.01837491120191573	0.01	2.0	4.0	-102.25191938262404
147	0.018742409425954048	0.01	2.0	4.0	-102.24053614651152
148	0.01911725761447313	0.01	2.0	4.0	-102.22948837117706
149	0.019499602766762592	0.01	2.0	4.0	-102.21878509995419
150	0.019889594822097845	0.01	2.0	4.0	-102.20843555927385
151	0.0202873867185398	0.01	2.0	4.0	-102.19844916171435
152	0.020693134452910596	0.01	2.0	4.0	-102.18883550911512
153	0.021106997141968807	0.01	2.0	4.0	-102.17960439575549
154	0.021529137084808185	0.01	2.0	4.0	-102.1707658116009
