#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.IndependentStructuredCoalescent">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
0	0.00102	0.01	2.0	4.0	-110.88512682280609
1	0.0010404000000000001	0.01	2.0	4.0	-110.85302871625842
2	0.0010612080000000001	0.01	2.0	4.0	-110.82095182920816
3	0.0010824321600000002	0.01	2.0	4.0	-110.7888976418939
4	0.0011040808032000001	0.01	2.0	4.0	-110.75686763188503
5	0.0011261624192640003	0.01	2.0	4.0	-110.72486327381414
6	0.0011486856676492802	0.01	2.0	4.0	-110.69288603911195
7	0.0011716593810022658	0.01	2.0	4.0	-110.66093739574409
8	0.0011950925686223112	0.01	2.0	4.0	-110.62901880795074
9	0.0012189944199947574	0.01	2.0	4.0	-110.5971317359892
10	0.0012433743083946527	0.01	2.0	4.0	-110.56527763587948
11	0.0012682417945625458	0.01	2.0	4.0	-110.53345795915396
12	0.0012936066304537967	0.01	2.0	4.0	-110.50167415261085
13	0.0013194787630628727	0.01	2.0	4.0	-110.4699276580728
14	0.00134586833832413	0.01	2.0	4.0	-110.43821991215049
15	0.0013727857050906127	0.01	2.0	4.0	-110.40655234601255
16	0.001400241419192425	0.01	2.0	4.0	-110.3749263851623
17	0.0014282462475762735	0.01	2.0	4.0	-110.34334344922185
18	0.001456811172527799	0.01	2.0	4.0	-110.311804951725
19	0.001485947395978355	0.01	2.0	4.0	-110.28031229991946
20	0.001515666343897922	0.01	2.0	4.0	-110.24886689457963
21	0.0015459796707758804	0.01	2.0	4.0	-110.21747012983106
22	0.001576899264191398	0.01	2.0	4.0	-110.18612339298751
23	0.001608437249475226	0.01	2.0	4.0	-110.15482806440244
24	0.0016406059944647305	0.01	2.0	4.0	-110.12358551733513
25	0.001673418114354025	0.01	2.0	4.0	-110.09239711783458
26	0.0017068864766411056	0.01	2.0	4.0	-110.06126422464075
27	0.0017410242061739278	0.01	2.0	4.0	-110.03018818910604
28	0.0017758446902974064	0.01	2.0	4.0	-109.99917035513798
29	0.0018113615841033545	0.01	2.0	4.0	-109.96821205916498
30	0.0018475888157854217	0.01	2.0	4.0	-109.93731463012693
31	0.0018845405921011301	0.01	2.0	4.0	-109.9064793894922
32	0.0019222314039431527	0.01	2.0	4.0	-109.87570765130353
33	0.001960676032022016	0.01	2.0	4.0	-109.84500072225379
34	0.001999889552662456	0.01	2.0	4.0	-109.81435990179446
35	0.0020398873437157054	0.01	2.0	4.0	-109.78378648227857
36	0.0020806850905900195	0.01	2.0	4.0	-109.75328174914002
37	0.00212229879240182	0.01	2.0	4.0	-109.72284698111157
38	0.0021647447682498562	0.01	2.0	4.0	-109.69248345048406
39	0.0022080396636148534	0.01	2.0	4.0	-109.66219242340838
40	0.0022522004568871503	0.01	2.0	4.0	-109.63197516024303
41	0.0022972444660248935	0.01	2.0	4.0	-109.60183291594949
42	0.0023431893553453914	0.01	2.0	4.0	-109.57176694053756
43	0.002390053142452299	0.01	2.0	4.0	-109.54177847956332
44	0.002437854205301345	0.01	2.0	4.0	-109.51186877468182
45	0.002486611289407372	0.01	2.0	4.0	-109.48203906425722
46	0.0025363435151955194	0.01	2.0	4.0	-109.45229058403255
47	0.00258707038549943	0.01	2.0	4.0	-109.42262456786167
48	0.0026388117932094187	0.01	2.0	4.0	-109.39304224850586
49	0.002691588029073607	0.01	2.0	4.0	-109.36354485849753
50	0.0027454197896550794	0.01	2.0	4.0	-109.33413363107312
51	0.002800328185448181	0.01	2.0	4.0	-109.30480980117815
52	0.0028563347491571446	0.01	2.0	4.0	-109.27557460654634
53	0.0029134614441402875	0.01	2.0	4.0	-109.24642928885531
54	0.002971730673023093	0.01	2.0	4.0	-109.21737509496108
55	0.003031165286483555	0.01	2.0	4.0	-109.18841327821389
56	0.003091788592213226	0.01	2.0	4.0	-109.15954509985681
57	0.0031536243640574906	0.01	2.0	4.0	-109.13077183051014
58	0.0032166968513386404	0.01	2.0	4.0	-109.10209475174324
59	0.003281030788365413	0.01	2.0	4.0	-109.07351515773503
60	0.0033466514041327216	0.01	2.0	4.0	-109.04503435702657
61	0.0034135844322153762	0.01	2.0	4.0	-109.01665367436574
62	0.003481856120859684	0.01	2.0	4.0	-108.98837445264687
63	0.0035514932432768776	0.01	2.0	4.0	-108.9601980549457
64	0.003622523108142415	0.01	2.0	4.0	-108.93212586665251
65	0.0036949735703052634	0.01	2.0	4.0	-108.9041592977025
66	0.0037688730417113686	0.01	2.0	4.0	-108.87629978490641
67	0.003844250502545596	0.01	2.0	4.0	-108.84854879438069
68	0.003921135512596508	0.01	2.0	4.0	-108.82090782407873
69	0.003999558222848438	0.01	2.0	4.0	-108.7933784064231
70	0.0040795493873054065	0.01	2.0	4.0	-108.76596211103886
71	0.004161140375051515	0.01	2.0	4.0	-108.73866054758844
72	0.004244363182552545	0.01	2.0	4.0	-108.71147536870699
73	0.004329250446203596	0.01	2.0	4.0	-108.68440827303816
74	0.004415835455127668	0.01	2.0	4.0	-108.65746100836965
75	0.004504152164230221	0.01	2.0	4.0	-108.63063537486656
76	0.004594235207514826	0.01	2.0	4.0	-108.60393322840203
77	0.004686119911665123	0.01	2.0	4.0	-108.57735648398315
78	0.004779842309898425	0.01	2.0	4.0	-108.55090711927005
79	0.004875439156096393	0.01	2.0	4.0	-108.52458717818615
80	0.004972947939218321	0.01	2.0	4.0	-108.49839877461696
81	0.005072406898002688	0.01	2.0	4.0	-108.47234409619432
82	0.005173855035962741	0.01	2.0	4.0	-108.44642540816383
83	0.0052773321366819965	0.01	2.0	4.0	-108.42064505733084
84	0.005382878779415637	0.01	2.0	4.0	-108.39500547608259
85	0.00549053635500395	0.01	2.0	4.0	-108.36950918648213
86	0.005600347082104029	0.01	2.0	4.0	-108.34415880442988
87	0.0057123540237461095	0.01	2.0	4.0	-108.31895704388904
88	0.005826601104221032	0.01	2.0	4.0	-108.2939067211702
89	0.005943133126305453	0.01	2.0	4.0	-108.26901075927118
90	0.006061995788831562	0.01	2.0	4.0	-108.24427219226692
91	0.0061832357046081934	0.01	2.0	4.0	-108.21969416974599
92	0.006306900418700357	0.01	2.0	4.0	-108.1952799612885
93	0.006433038427074365	0.01	2.0	4.0	-108.17103296098168
94	0.006561699195615852	0.01	2.0	4.0	-108.14695669196925
95	0.006692933179528169	0.01	2.0	4.0	-108.12305481103006
96	0.006826791843118732	0.01	2.0	4.0	-108.09933111318388
97	0.006963327679981107	0.01	2.0	4.0	-108.07578953632023
98	0.00710259423358073	0.01	2.0	4.0	-108.05243416584858
99	0.007244646118252344	0.01	2.0	4.0	-108.02926923936738
100	0.007389539040617391	0.01	2.0	4.0	-108.00629915135151
101	0.007537329821429739	0.01	2.0	4.0	-107.98352845785661
102	0.007688076417858334	0.01	2.0	4.0	-107.96096188124118
103	0.0078418379462155	0.01	2.0	4.0	-107.93860431490693
104	0.007998674705139812	0.01	2.0	4.0	-107.91646082805899
105	0.008158648199242608	0.01	2.0	4.0	-107.8945366704889
106	0.00832182116322746	0.01	2.0	4.0	-107.87283727738244
107	0.008488257586492009	0.01	2.0	4.0	-107.85136827415678
108	0.00865802273822185	0.01	2.0	4.0	-107.8301354813309
109	0.008831183192986286	0.01	2.0	4.0	-107.80914491943346
110	0.009007806856846013	0.01	2.0	4.0	-107.78840281395351
111	0.009187962993982933	0.01	2.0	4.0	-107.76791560033797
112	0.009371722253862591	0.01	2.0	4.0	-107.74768992904121
113	0.009559156698939843	0.01	2.0	4.0	-107.72773267062968
114	0.00975033983291864	0.01	2.0	4.0	-107.7080509209458
115	0.009945346629577013	0.01	2.0	4.0	-107.68865200633267
116	0.010144253562168554	0.01	2.0	4.0	-107.66954348892023
117	0.010347138633411924	0.01	2.0	4.0	-107.6507331719723
118	0.010554081406080162	0.01	2.0	4.0	-107.63222910529113
119	0.010765163034201766	0.01	2.0	4.0	-107.61403959067518
120	0.010980466294885801	0.01	2.0	4.0	-107.5961731874219
121	0.011200075620783517	0.01	2.0	4.0	-107.57863871786621
122	0.011424077133199187	0.01	2.0	4.0	-107.56144527294256
123	0.011652558675863171	0.01	2.0	4.0	-107.544602217755
124	0.011885609849380434	0.01	2.0	4.0	-107.5281191971395
125	0.012123322046368044	0.01	2.0	4.0	-107.5120061411984
126	0.012365788487295405	0.01	2.0	4.0	-107.49627327078699
127	0.012613104257041314	0.01	2.0	4.0	-107.48093110293019
128	0.01286536634218214	0.01	2.0	4.0	-107.4659904561466
129	0.013122673669025782	0.01	2.0	4.0	-107.45146245565807
130	0.013385127142406299	0.01	2.0	4.0	-107.43735853846164
131	0.013652829685254424	0.01	2.0	4.0	-107.42369045824452
132	0.013925886278959514	0.01	2.0	4.0	-107.41047029012257
133	0.014204404004538705	0.01	2.0	4.0	-107.39771043518677
134	0.01448849208462948	0.01	2.0	4.0	-107.38542362484478
135	0.014778261926322069	0.01	2.0	4.0	-107.37362292494898
136	0.01507382716484851	0.01	2.0	4.0	-107.36232173970586
137	0.01537530370814548	0.01	2.0	4.0	-107.35153381536709
138	0.01568280978230839	0.01	2.0	4.0	-107.34127324370644
139	0.01599646597795456	0.01	2.0	4.0	-107.33155446529194
140	0.01631639529751365	0.01	2.0	4.0	-107.32239227256655
141	0.016642723203463924	0.01	2.0	4.0	-107.31380181275597
142	0.016975577667533204	0.01	2.0	4.0	-107.30579859062452
143	0.01731508922088387	0.01	2.0	4.0	-107.29839847110479
144	0.017661391005301546	0.01	2.0	4.0	-107.29161768182855
145	0.01801461882540758	0.01	2.0	4.0	-107.28547281558893
146	0.01837491120191573	0.01	2.0	4.0	-107.27998083276489
147	0.018742409425954048	0.01	2.0	4.0	-107.27515906374026
148	0.01911725761447313	0.01	2.0	4.0	-107.27102521134879
149	0.019499602766762592	0.01	2.0	4.0	-107.26759735337724
150	0.019889594822097845	0.01	2.0	4.0	-107.26489394515595
151	0.0202873867185398	0.01	2.0	4.0	-107.26293382226568
152	0.020693134452910596	0.01	2.0	4.0	-107.26173620338753
153	0.021106997141968807	0.01	2.0	4.0	-107.2613206933193
154	0.021529137084808185	0.01	2.0	4.0	-107.26170728618054
155	0.02195971982650435	0.01	2.0	4.0	-107.26291636882442
156	0.022398914223034437	0.01	2.0	4.0	-107.26496872447326
157	0.022846892507495126	0.01	2.0	4.0	-107.26788553659043
158	0.02330383035764503	0.01	2.0	4.0	-107.27168839299998
159	0.02376990696479793	0.01	2.0	4.0	-107.27639929026212
160	0.024245305104093888	0.01	2.0	4.0	-107.28204063831089
161	0.024730211206175766	0.01	2.0	4.0	-107.288635265358
162	0.02522481543029928	0.01	2.0	4.0	-107.29620642306571
163	0.025729311738905265	0.01	2.0	4.0	-107.30477779198911
164	0.02624389797368337	0.01	2.0	4.0	-107.3143734872879
165	0.026768775933157036	0.01	2.0	4.0	-107.32501806470633
166	0.027304151451820177	0.01	2.0	4.0	-107.3367365268189
167	0.027850234480856582	0.01	2.0	4.0	-107.34955432953946
168	0.028407239170473712	0.01	2.0	4.0	-107.3634973888905
169	0.028975383953883188	0.01	2.0	4.0	-107.37859208802917
170	0.029554891632960854	0.01	2.0	4.0	-107.39486528452703
171	0.030145989465620072	0.01	2.0	4.0	-107.4123443178996
172	0.030748909254932472	0.01	2.0	4.0	-107.43105701738293
173	0.03136388744003112	0.01	2.0	4.0	-107.45103170995375
174	0.031991165188831744	0.01	2.0	4.0	-107.47229722859049
175	0.03263098849260838	0.01	2.0	4.0	-107.49488292077221
176	0.033283608262460546	0.01	2.0	4.0	-107.51881865721367
177	0.033949280427709755	0.01	2.0	4.0	-107.54413484083356
178	0.03462826603626395	0.01	2.0	4.0	-107.57086241595479
179	0.03532083135698923	0.01	2.0	4.0	-107.59903287773477
180	0.03602724798412901	0.01	2.0	4.0	-107.62867828182429
181	0.03674779294381159	0.01	2.0	4.0	-107.65983125425382
182	0.03748274880268782	0.01	2.0	4.0	-107.69252500154604
183	0.038232403778741576	0.01	2.0	4.0	-107.72679332105362
184	0.03899705185431641	0.01	2.0	4.0	-107.76267061152119
185	0.039776992891402733	0.01	2.0	4.0	-107.80019188387053
186	0.04057253274923079	0.01	2.0	4.0	-107.83939277220833
187	0.0413839834042154	0.01	2.0	4.0	-107.88030954505473
188	0.04221166307229971	0.01	2.0	4.0	-107.92297911679232
189	0.04305589633374571	0.01	2.0	4.0	-107.9674390593339
190	0.04391701426042062	0.01	2.0	4.0	-108.01372761400704
191	0.04479535454562903	0.01	2.0	4.0	-108.0618837036545
192	0.045691261636541615	0.01	2.0	4.0	-108.11194694494799
193	0.04660508686927245	0.01	2.0	4.0	-108.16395766091291
194	0.0475371886066579	0.01	2.0	4.0	-108.21795689366135
195	0.04848793237879106	0.01	2.0	4.0	-108.27398641733018
196	0.04945769102636688	0.01	2.0	4.0	-108.33208875122088
197	0.05044684484689422	0.01	2.0	4.0	-108.39230717313623
198	0.051455781743832106	0.01	2.0	4.0	-108.45468573290998
199	0.05248489737870875	0.01	2.0	4.0	-108.51926926612357
200	0.05353459532628292	0.01	2.0	4.0	-108.58610340800406
201	0.05460528723280858	0.01	2.0	4.0	-108.65523460749644
202	0.05569739297746475	0.01	2.0	4.0	-108.72671014150278
203	0.05681134083701405	0.01	2.0	4.0	-108.80057812927953
204	0.057947567653754334	0.01	2.0	4.0	-108.87688754698391
205	0.05910651900682942	0.01	2.0	4.0	-108.95568824235808
206	0.060288649386966014	0.01	2.0	4.0	-109.03703094954048
207	0.061494422374705336	0.01	2.0	4.0	-109.12096730399061
208	0.06272431082219944	0.01	2.0	4.0	-109.20754985751331
209	0.06397879703864343	0.01	2.0	4.0	-109.296832093367
210	0.0652583729794163	0.01	2.0	4.0	-109.38886844143836
211	0.06656354043900461	0.01	2.0	4.0	-109.48371429346459
212	0.06789481124778471	0.01	2.0	4.0	-109.581426018283
213	0.0692527074727404	0.01	2.0	4.0	-109.68206097708438
214	0.0706377616221952	0.01	2.0	4.0	-109.78567753864615
215	0.0720505168546391	0.01	2.0	4.0	-109.89233509451805
216	0.07349152719173188	0.01	2.0	4.0	-110.00209407413084
217	0.07496135773556652	0.01	2.0	4.0	-110.11501595979648
218	0.07646058489027785	0.01	2.0	4.0	-110.23116330156508
219	0.0779897965880834	0.01	2.0	4.0	-110.35059973190099
220	0.07954959251984507	0.01	2.0	4.0	-110.47338998013855
221	0.08114058437024198	0.01	2.0	4.0	-110.59959988667269
222	0.08276339605764682	0.01	2.0	4.0	-110.72929641683929
223	0.08441866397879975	0.01	2.0	4.0	-110.86254767443411
224	0.08610703725837575	0.01	2.0	4.0	-110.9994229148173
225	0.08782917800354327	0.01	2.0	4.0	-111.13999255754707
226	0.08958576156361414	0.01	2.0	4.0	-111.28432819848128
227	0.09137747679488642	0.01	2.0	4.0	-111.43250262128379
228	0.09320502633078415	0.01	2.0	4.0	-111.58458980826819
229	0.09506912685739984	0.01	2.0	4.0	-111.74066495050857
230	0.09697050939454784	0.01	2.0	4.0	-111.9008044571439
231	0.09890991958243879	0.01	2.0	4.0	-112.06508596379994
232	0.10088811797408757	0.01	2.0	4.0	-112.23358834005128
233	0.10290588033356933	0.01	2.0	4.0	-112.40639169584306
