#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.Masco">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
0	0.00102	0.01	2.0	4.0	-107.42759585914334
1	0.0010404000000000001	0.01	2.0	4.0	-107.40797122735776
2	0.0010612080000000001	0.01	2.0	4.0	-107.38851810007782
3	0.0010824321600000002	0.01	2.0	4.0	-107.36925510691552
4	0.0011040808032000001	0.01	2.0	4.0	-107.35020196411332
5	0.0011261624192640003	0.01	2.0	4.0	-107.33137901713364
6	0.0011486856676492802	0.01	2.0	4.0	-107.31280665267246
7	0.0011716593810022658	0.01	2.0	4.0	-107.29450459075389
8	0.0011950925686223112	0.01	2.0	4.0	-107.27649108192014
9	0.0012189944199947574	0.01	2.0	4.0	-107.2587820495392
10	0.0012433743083946527	0.01	2.0	4.0	-107.24139023062854
11	0.0012682417945625458	0.01	2.0	4.0	-107.22432437772792
12	0.0012936066304537967	0.01	2.0	4.0	-107.2075885868518
13	0.0013194787630628727	0.01	2.0	4.0	-107.19118181087913
14	0.00134586833832413	0.01	2.0	4.0	-107.17509760377399
15	0.0013727857050906127	0.01	2.0	4.0	-107.15932412030982
16	0.001400241419192425	0.01	2.0	4.0	-107.14384437149103
17	0.0014282462475762735	0.01	2.0	4.0	-107.12863671147159
18	0.001456811172527799	0.01	2.0	4.0	-107.11367551125309
19	0.001485947395978355	0.01	2.0	4.0	-107.09893196070864
20	0.001515666343897922	0.01	2.0	4.0	-107.08437493492862
21	0.0015459796707758804	0.01	2.0	4.0	-107.0699718633151
22	0.001576899264191398	0.01	2.0	4.0	-107.05568954870112
23	0.001608437249475226	0.01	2.0	4.0	-107.04149489669042
24	0.0016406059944647305	0.01	2.0	4.0	-107.02735552988932
25	0.001673418114354025	0.01	2.0	4.0	-107.01324027555718
26	0.0017068864766411056	0.01	2.0	4.0	-106.9991195269144
