#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ApproximateStructuredCoalescent">
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
0	0.00102	0.01	2.0	4.0	-147.72043495486574
1	0.0010404000000000001	0.01	2.0	4.0	-147.48271664122063
2	0.0010612080000000001	0.01	2.0	4.0	-147.24718561707724
3	0.0010824321600000002	0.01	2.0	4.0	-147.01388710026995
4	0.0011040808032000001	0.01	2.0	4.0	-146.78286550012248
5	0.0011261624192640003	0.01	2.0	4.0	-146.55416441785343
6	0.0011486856676492802	0.01	2.0	4.0	-146.32782664862282
7	0.0011716593810022658	0.01	2.0	4.0	-146.1038941852941
8	0.0011950925686223112	0.01	2.0	4.0	-145.88240822371571
9	0.0012189944199947574	0.01	2.0	4.0	-145.6634091697179
10	0.0012433743083946527	0.01	2.0	4.0	-145.44693664764617
11	0.0012682417945625458	0.01	2.0	4.0	-145.233029510527
12	0.0012936066304537967	0.01	2.0	4.0	-145.02172585169993
13	0.0013194787630628727	0.01	2.0	4.0	-144.81306301813626
14	0.00134586833832413	0.01	2.0	4.0	-144.60707762513442
15	0.0013727857050906127	0.01	2.0	4.0	-144.40380557258123
16	0.001400241419192425	0.01	2.0	4.0	-144.20328206267376
17	0.0014282462475762735	0.01	2.0	4.0	-144.00554161903827
18	0.001456811172527799	0.01	2.0	4.0	-143.81061810732703
19	0.001485947395978355	0.01	2.0	4.0	-143.61854475710211
20	0.001515666343897922	0.01	2.0	4.0	-143.4293541851774
21	0.0015459796707758804	0.01	2.0	4.0	-143.2430784201949
22	0.001576899264191398	0.01	2.0	4.0	-143.05974892850793
23	0.001608437249475226	0.01	2.0	4.0	-142.87939664140836
24	0.0016406059944647305	0.01	2.0	4.0	-142.7020519834238
25	0.001673418114354025	0.01	2.0	4.0	-142.5277449019457
26	0.0017068864766411056	0.01	2.0	4.0	-142.35650489797288
27	0.0017410242061739278	0.01	2.0	4.0	-142.18836105796157
28	0.0017758446902974064	0.01	2.0	4.0	-142.02334208681816
29	0.0018113615841033545	0.01	2.0	4.0	-141.8614763419717
30	0.0018475888157854217	0.01	2.0	4.0	-141.70279186841398
31	0.0018845405921011301	0.01	2.0	4.0	-141.54731643485712
32	0.0019222314039431527	0.01	2.0	4.0	-141.39507757077524
33	0.001960676032022016	0.01	2.0	4.0	-141.2461026044671
34	0.001999889552662456	0.01	2.0	4.0	-141.10041870202338
35	0.0020398873437157054	0.01	2.0	4.0	-140.9580529072168
36	0.0020806850905900195	0.01	2.0	4.0	-140.81903218221066
37	0.00212229879240182	0.01	2.0	4.0	-140.6833834491892
38	0.0021647447682498562	0.01	2.0	4.0	-140.5511336327839
39	0.0022080396636148534	0.01	2.0	4.0	-140.42230970331664
40	0.0022522004568871503	0.01	2.0	4.0	-140.29693872082348
41	0.0022972444660248935	0.01	2.0	4.0	-140.17504787986368
42	0.0023431893553453914	0.01	2.0	4.0	-140.05666455505545
43	0.002390053142452299	0.01	2.0	4.0	-139.94181634737816
44	0.002437854205301345	0.01	2.0	4.0	-139.83053113116213
45	0.002486611289407372	0.01	2.0	4.0	-139.7228371018315
46	0.0025363435151955194	0.01	2.0	4.0	-139.6187628242825
47	0.00258707038549943	0.01	2.0	4.0	-139.51833728201154
48	0.0026388117932094187	0.01	2.0	4.0	-139.42158992686097
49	0.002691588029073607	0.01	2.0	4.0	-139.32855072949164
50	0.0027454197896550794	0.01	2.0	4.0	-139.23925023046084
51	0.002800328185448181	0.01	2.0	4.0	-139.15371959201718
52	0.0028563347491571446	0.01	2.0	4.0	-139.0719906505051
53	0.0029134614441402875	0.01	2.0	4.0	-138.99409596946685
54	0.002971730673023093	0.01	2.0	4.0	-138.92006889336443
55	0.003031165286483555	0.01	2.0	4.0	-138.849943601983
56	0.003091788592213226	0.01	2.0	4.0	-138.7837551654819
57	0.0031536243640574906	0.01	2.0	4.0	-138.7215396001338
58	0.0032166968513386404	0.01	2.0	4.0	-138.6633339247112
59	0.003281030788365413	0.01	2.0	4.0	-138.60917621756033
60	0.0033466514041327216	0.01	2.0	4.0	-138.55910567436993
61	0.0034135844322153762	0.01	2.0	4.0	-138.51316266663454
62	0.003481856120859684	0.01	2.0	4.0	-138.47138880082207
63	0.0035514932432768776	0.01	2.0	4.0	-138.4338269782666
64	0.003622523108142415	0.01	2.0	4.0	-138.40052145578605
65	0.0036949735703052634	0.01	2.0	4.0	-138.3715179070499
66	0.0037688730417113686	0.01	2.0	4.0	-138.3468634847339
67	0.003844250502545596	0.01	2.0	4.0	-138.32660688338933
68	0.003921135512596508	0.01	2.0	4.0	-138.31079840317716
69	0.003999558222848438	0.01	2.0	4.0	-138.2994900143542
70	0.0040795493873054065	0.01	2.0	4.0	-138.29273542260572
71	0.004161140375051515	0.01	2.0	4.0	-138.29059013521882
72	0.004244363182552545	0.01	2.0	4.0	-138.29311152811482
73	0.004329250446203596	0.01	2.0	4.0	-138.30035891372805
74	0.004415835455127668	0.01	2.0	4.0	-138.3123936098159
75	0.004504152164230221	0.01	2.0	4.0	-138.3292790091288
76	0.004594235207514826	0.01	2.0	4.0	-138.351080650019
77	0.004686119911665123	0.01	2.0	4.0	-138.37786628798062
78	0.004779842309898425	0.01	2.0	4.0	-138.409705968104
79	0.004875439156096393	0.01	2.0	4.0	-138.4466720985133
80	0.004972947939218321	0.01	2.0	4.0	-138.48883952473568
81	0.005072406898002688	0.01	2.0	4.0	-138.53628560503023
82	0.005173855035962741	0.01	2.0	4.0	-138.589090286695
83	0.0052773321366819965	0.01	2.0	4.0	-138.64733618331914
84	0.005382878779415637	0.01	2.0	4.0	-138.71110865299306
85	0.00549053635500395	0.01	2.0	4.0	-138.7804958774608
86	0.005600347082104029	0.01	2.0	4.0	-138.85558894220114
87	0.0057123540237461095	0.01	2.0	4.0	-138.9364819174276
88	0.005826601104221032	0.01	2.0	4.0	-139.02327193993696
89	0.005943133126305453	0.01	2.0	4.0	-139.11605929584815
90	0.006061995788831562	0.01	2.0	4.0	-139.2149475041027
91	0.0061832357046081934	0.01	2.0	4.0	-139.32004340075065
92	0.006306900418700357	0.01	2.0	4.0	-139.43145722391182
93	0.006433038427074365	0.01	2.0	4.0	-139.54930269936344
94	0.006561699195615852	0.01	2.0	4.0	-139.6736971266792
