migrationrate	MTT	esco	Lisco	Sisco
0.001020	0.906500	0.908000	0.907000	0.958000
0.001040	0.907000	0.906000	0.906000	0.956000
0.001061	0.917000	0.905000	0.904000	0.955000
0.001082	0.901000	0.903000	0.902000	0.953000
0.001104	0.893000	0.901000	0.901000	0.952000
0.001126	0.905500	0.899000	0.899000	0.950000
0.001149	0.911000	0.898000	0.897000	0.948000
0.001172	0.894500	0.896000	0.895000	0.947000
0.001195	0.883500	0.894000	0.893000	0.945000
0.001219	0.890000	0.892000	0.891000	0.943000
0.001243	0.891500	0.890000	0.889000	0.941000
0.001268	0.877500	0.888000	0.887000	0.940000
0.001294	0.890500	0.886000	0.885000	0.938000
0.001319	0.897000	0.884000	0.883000	0.936000
0.001346	0.884500	0.882000	0.881000	0.934000
0.001373	0.870500	0.880000	0.879000	0.931000
0.001400	0.882500	0.878000	0.877000	0.929000
0.001428	0.874500	0.876000	0.875000	0.927000
0.001457	0.879500	0.874000	0.873000	0.925000
0.001486	0.876000	0.871000	0.871000	0.922000
0.001516	0.856500	0.869000	0.868000	0.920000
0.001546	0.867500	0.867000	0.866000	0.918000
0.001577	0.873000	0.865000	0.864000	0.915000
0.001608	0.861500	0.862000	0.861000	0.913000
0.001641	0.849500	0.860000	0.859000	0.910000
0.001673	0.860000	0.857000	0.857000	0.907000
0.001707	0.857000	0.855000	0.854000	0.904000
0.001741	0.860500	0.852000	0.852000	0.902000
0.001776	0.839500	0.850000	0.849000	0.899000
0.001811	0.835500	0.847000	0.847000	0.896000
0.001848	0.851500	0.845000	0.844000	0.893000
0.001885	0.856500	0.842000	0.841000	0.890000
0.001922	0.847000	0.840000	0.839000	0.886000
0.001961	0.835500	0.837000	0.836000	0.883000
0.002000	0.841000	0.834000	0.833000	0.880000
0.002040	0.829000	0.831000	0.831000	0.876000
0.002081	0.829000	0.829000	0.828000	0.873000
0.002122	0.833000	0.826000	0.825000	0.869000
0.002165	0.795000	0.823000	0.822000	0.866000
0.002208	0.826000	0.820000	0.819000	0.862000
0.002252	0.833000	0.817000	0.816000	0.858000
0.002297	0.817500	0.814000	0.813000	0.854000
0.002343	0.821500	0.811000	0.810000	0.850000
0.002390	0.817500	0.808000	0.807000	0.846000
0.002438	0.800500	0.805000	0.804000	0.842000
0.002487	0.791500	0.802000	0.801000	0.838000
0.002536	0.817500	0.799000	0.798000	0.833000
0.002587	0.791000	0.795000	0.794000	0.829000
0.002639	0.780500	0.792000	0.791000	0.825000
0.002692	0.800000	0.789000	0.788000	0.820000
0.002745	0.799500	0.786000	0.785000	0.816000
0.002800	0.778000	0.782000	0.781000	0.811000
0.002856	0.792500	0.779000	0.778000	0.806000
0.002913	0.763000	0.775000	0.774000	0.801000
0.002972	0.777500	0.772000	0.771000	0.796000
0.003031	0.783500	0.768000	0.767000	0.791000
0.003092	0.752500	0.765000	0.764000	0.786000
0.003154	0.758000	0.761000	0.760000	0.781000
0.003217	0.758000	0.758000	0.757000	0.776000
0.003281	0.739500	0.754000	0.753000	0.770000
0.003347	0.751500	0.750000	0.749000	0.765000
0.003414	0.754000	0.746000	0.746000	0.759000
0.003482	0.739500	0.743000	0.742000	0.754000
0.003551	0.743000	0.739000	0.738000	0.748000
0.003623	0.735000	0.735000	0.734000	0.742000
0.003695	0.734000	0.731000	0.730000	0.736000
0.003769	0.727000	0.727000	0.726000	0.730000
0.003844	0.731000	0.723000	0.722000	0.724000
0.003921	0.709500	0.719000	0.718000	0.718000
0.004000	0.721500	0.715000	0.714000	0.712000
0.004080	0.714000	0.711000	0.710000	0.706000
0.004161	0.697000	0.707000	0.706000	0.700000
0.004244	0.693500	0.703000	0.702000	0.693000
0.004329	0.692500	0.699000	0.698000	0.687000
0.004416	0.703500	0.695000	0.694000	0.680000
0.004504	0.695500	0.690000	0.689000	0.674000
0.004594	0.688000	0.686000	0.685000	0.667000
0.004686	0.689500	0.682000	0.681000	0.660000
0.004780	0.680000	0.677000	0.677000	0.653000
0.004875	0.696000	0.673000	0.672000	0.647000
0.004973	0.669000	0.669000	0.668000	0.640000
0.005072	0.680000	0.664000	0.663000	0.633000
0.005174	0.662500	0.660000	0.659000	0.626000
0.005277	0.641000	0.655000	0.655000	0.619000
0.005383	0.647500	0.651000	0.650000	0.612000
0.005491	0.641500	0.646000	0.646000	0.604000
0.005600	0.642500	0.642000	0.641000	0.597000
0.005712	0.652000	0.637000	0.636000	0.590000
0.005827	0.612000	0.633000	0.632000	0.583000
0.005943	0.632000	0.628000	0.627000	0.575000
0.006062	0.601500	0.623000	0.623000	0.568000
0.006183	0.633000	0.619000	0.618000	0.561000
0.006307	0.617500	0.614000	0.613000	0.553000
0.006433	0.633000	0.609000	0.609000	0.546000
0.006562	0.610000	0.604000	0.604000	0.538000
0.006693	0.603500	0.600000	0.599000	0.531000
0.006827	0.601000	0.595000	0.594000	0.523000
0.006963	0.585500	0.590000	0.590000	0.515000
0.007103	0.573000	0.585000	0.585000	0.508000
0.007245	0.580000	0.580000	0.580000	0.500000
0.007390	0.588000	0.576000	0.575000	0.493000
0.007537	0.571000	0.571000	0.570000	0.485000
0.007688	0.569000	0.566000	0.565000	0.477000
0.007842	0.533500	0.561000	0.560000	0.470000
0.007999	0.569500	0.556000	0.556000	0.462000
0.008159	0.542500	0.551000	0.551000	0.454000
0.008322	0.551500	0.546000	0.546000	0.447000
0.008488	0.527500	0.541000	0.541000	0.439000
0.008658	0.538500	0.536000	0.536000	0.432000
0.008831	0.554500	0.531000	0.531000	0.424000
0.009008	0.538000	0.526000	0.526000	0.416000
0.009188	0.536000	0.521000	0.521000	0.409000
0.009372	0.500000	0.516000	0.516000	0.401000
0.009559	0.503500	0.511000	0.511000	0.394000
0.009750	0.484500	0.506000	0.506000	0.386000
0.009945	0.492000	0.501000	0.501000	0.379000
0.010144	0.499000	0.496000	0.496000	0.371000
0.010347	0.485000	0.491000	0.491000	0.364000
0.010554	0.474000	0.486000	0.487000	0.357000
0.010765	0.488000	0.481000	0.482000	0.349000
0.010980	0.442500	0.476000	0.477000	0.342000
0.011200	0.479500	0.471000	0.472000	0.335000
0.011424	0.469500	0.466000	0.467000	0.328000
0.011653	0.456000	0.462000	0.462000	0.320000
0.011886	0.457500	0.457000	0.457000	0.313000
0.012123	0.461000	0.452000	0.452000	0.306000
0.012366	0.461000	0.447000	0.447000	0.299000
0.012613	0.429500	0.442000	0.442000	0.292000
0.012865	0.442500	0.437000	0.437000	0.286000
0.013123	0.441500	0.432000	0.432000	0.279000
0.013385	0.433500	0.427000	0.428000	0.272000
0.013653	0.418000	0.422000	0.423000	0.265000
0.013926	0.425000	0.417000	0.418000	0.259000
0.014204	0.411500	0.412000	0.413000	0.252000
0.014488	0.420500	0.408000	0.408000	0.246000
0.014778	0.408000	0.403000	0.404000	0.239000
0.015074	0.399500	0.398000	0.399000	0.233000
0.015375	0.418000	0.393000	0.394000	0.227000
0.015683	0.374500	0.388000	0.389000	0.221000
0.015996	0.384500	0.384000	0.385000	0.215000
0.016316	0.362000	0.379000	0.380000	0.209000
0.016643	0.360000	0.374000	0.375000	0.203000
0.016976	0.366000	0.369000	0.371000	0.197000
0.017315	0.354000	0.365000	0.366000	0.191000
0.017661	0.358000	0.360000	0.362000	0.186000
0.018015	0.352000	0.356000	0.357000	0.180000
0.018375	0.346500	0.351000	0.352000	0.175000
0.018742	0.338000	0.346000	0.348000	0.170000
0.019117	0.336500	0.342000	0.343000	0.164000
0.019500	0.339500	0.337000	0.339000	0.159000
0.019890	0.351000	0.333000	0.335000	0.154000
0.020287	0.327000	0.328000	0.330000	0.149000
0.020693	0.336500	0.324000	0.326000	0.144000
0.021107	0.328000	0.320000	0.321000	0.140000
0.021529	0.309000	0.315000	0.317000	0.135000
0.021960	0.317500	0.311000	0.313000	0.130000
0.022399	0.315500	0.307000	0.309000	0.126000
0.022847	0.307500	0.302000	0.304000	0.121000
0.023304	0.297500	0.298000	0.300000	0.117000
0.023770	0.302000	0.294000	0.296000	0.113000
0.024245	0.282000	0.290000	0.292000	0.109000
0.024730	0.307000	0.286000	0.288000	0.105000
0.025225	0.270500	0.282000	0.284000	0.101000
0.025729	0.279500	0.277000	0.280000	0.097000
0.026244	0.257500	0.273000	0.276000	0.094000
0.026769	0.273000	0.269000	0.272000	0.090000
0.027304	0.252500	0.266000	0.268000	0.087000
0.027850	0.280500	0.262000	0.264000	0.083000
0.028407	0.259500	0.258000	0.260000	0.080000
0.028975	0.242500	0.254000	0.257000	0.077000
0.029555	0.243000	0.250000	0.253000	0.074000
0.030146	0.259500	0.246000	0.249000	0.071000
0.030749	0.229000	0.243000	0.245000	0.068000
0.031364	0.239500	0.239000	0.242000	0.065000
0.031991	0.266500	0.235000	0.238000	0.062000
0.032631	0.238500	0.232000	0.235000	0.060000
0.033284	0.225500	0.228000	0.231000	0.057000
0.033949	0.226500	0.224000	0.228000	0.055000
0.034628	0.223500	0.221000	0.224000	0.052000
0.035321	0.195500	0.217000	0.221000	0.050000
0.036027	0.189000	0.214000	0.217000	0.048000
0.036748	0.210500	0.211000	0.214000	0.046000
0.037483	0.208000	0.207000	0.211000	0.044000
0.038232	0.203500	0.204000	0.207000	0.042000
0.038997	0.213500	0.201000	0.204000	0.040000
0.039777	0.218000	0.197000	0.201000	0.038000
0.040573	0.198500	0.194000	0.198000	0.036000
0.041384	0.189500	0.191000	0.195000	0.034000
0.042212	0.181000	0.188000	0.192000	0.033000
0.043056	0.203000	0.185000	0.188000	0.031000
0.043917	0.178500	0.182000	0.185000	0.030000
