#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="treePrior" spec="multitypetreeVolz.distributions.StructuredCoalescentTreeDensityVolz">
#        <migrationModelVolz id="migModel" spec="beast.evolution.tree.MigrationModelVolz">
#            <parameter dimension="6" id="rateMatrix" name="rateMatrix">0.1 0.2 0.01 0.03 0.1 0.1</parameter>
#            <parameter dimension="3" id="popSizes" name="popSizes">1.0 0.5 0.25</parameter>
#        </migrationModelVolz>
#        <multiTypeTreeVolz id="tree" spec="beast.evolution.tree.StructuredCoalescentMultiTypeTreeVolz">
#            <migrationModelVolz spec="beast.evolution.tree.MigrationModelVolz">
#                <parameter dimension="6" name="rateMatrix">0.1 0.2 0.01 0.03 0.1 0.1</parameter>
#                <parameter dimension="3" name="popSizes">1.0 0.5 0.25</parameter>
#            </migrationModelVolz>
#            <trait id="typeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="type" value="inv0_0=0,inv1_0=0,inv2_0=0,inv0_1=1,inv1_1=1,inv0_2=2">
#                <taxa spec="beast.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-forward" value="inv0_0=0,inv1_0=1,inv2_0=2,inv0_1=1,inv1_1=0,inv0_2=1">
#                <taxa alignment="@alignment1" spec="beast.evolution.alignment.TaxonSet"/>
#            </trait>
#        </multiTypeTreeVolz>
#    </distribution>
#</input>
#
Sample	posterior	TreeHeightLog2
0	-7.848393357204955	4.324134478978927
100	-6.8231717341572935	4.91643443150916
200	-7.319768291096237	5.292998027808189
300	-9.84898014969112	6.608412418681973
400	-6.109344155243025	4.907853794251443
500	-7.469767968105198	2.6660058927102916
600	-6.658963035277302	3.384975395321996
700	-6.65719436320107	3.841784537063926
800	-7.212996401939984	3.7073711017388025
900	-10.599513781736825	8.645334580207024
1000	-9.072716673668774	4.959240974144399
1100	-5.978750626990993	3.776086303473858
1200	-10.045969842556437	4.317618992887408
1300	-7.571889025718011	4.430100198681281
1400	-9.09028185263417	5.179487962433675
1500	-6.773846838391058	3.685503173520086
1600	-9.58701396333701	3.7189730895363526
1700	-6.013403451239425	6.992554767866139
1800	-4.81371559275652	5.735802046133073
1900	-8.126616865569595	5.940110398982133
2000	-12.718395016977249	5.705649644261586
2100	-5.417121902612463	4.287201783900889
2200	-4.995515380821717	5.0343195675382315
2300	-7.019904045061936	6.935824086422329
2400	-7.704701862372625	4.044911471700242
2500	-7.488027129850591	3.608283628583588
2600	-7.20186976033694	4.720512864124669
2700	-5.571018817854799	3.5880886208676745
2800	-5.488980837219518	4.324121390035017
2900	-9.88167056480986	4.845408328428108
3000	-13.016149258539672	6.222462845603999
3100	-7.127352527327923	5.2026837033322355
3200	-8.05488240014039	6.598862437687437
3300	-7.449726911904905	3.340092263843546
3400	-8.082038718101504	5.001298206913893
3500	-4.749458719504374	5.664131185776741
3600	-6.4563408322861235	5.6330078777712655
3700	-5.63871900622003	3.839702097927425
3800	-10.439265184777895	3.625595944221724
3900	-6.724003901677202	4.66679313921646
4000	-8.695826320129495	3.845842161007468
4100	-5.056744992095643	3.7841850507347075
4200	-13.0456842834932	5.706302839108514
4300	-5.10142371616083	4.730168554522454
4400	-5.037886018790827	5.198795998017621
4500	-6.023764245773207	4.914447080939679
4600	-6.084217068849676	5.462008925834831
4700	-13.442959926631124	6.572795066731577
4800	-9.776032356124526	5.149101085074345
4900	-6.507591001385749	5.67553675191574
5000	-7.132784061516953	4.579225991099346
5100	-9.420196345827266	5.602717645191805
5200	-8.483628408262584	6.8639518870112965
5300	-4.877284422513479	4.1675642879426595
5400	-7.305922189364474	3.521871756047929
5500	-7.2176628545084345	3.8321433542441135
5600	-10.671222368310003	3.9912846384302973
5700	-7.0699428671210764	3.9774671267566064
5800	-5.944795328303417	3.766170614039228
5900	-4.06491846866106	4.100170870070531
6000	-6.029875626519586	4.452947031784772
6100	-8.262666869452902	6.363008806608223
6200	-10.765501150440794	9.006086568965564
6300	-5.695400637347224	8.097336601019947
6400	-8.665565403528506	9.819550573006541
6500	-4.557441585093947	3.2306170438516406
6600	-8.536070241283602	4.0822089264527595
6700	-8.079562647853555	6.1159772224009945
6800	-9.745820427251065	4.566850154504421
6900	-8.993386479962696	7.826891705969685
7000	-8.689125656746986	7.544791976711336
7100	-9.780530071573793	6.28095869471049
7200	-7.375145135163384	5.869577485519592
7300	-12.169131713931327	7.062819060672048
7400	-5.6791918969792	2.7753555131055743
7500	-12.705743086011271	8.324869263905802
7600	-10.686739669384531	8.159525145836259
7700	-9.86503297952036	5.698055798757128
7800	-6.06062626928167	3.9511924255610706
7900	-8.862911731020336	4.804524286143501
8000	-9.12296184310849	3.7901275093780336
8100	-7.280439968171955	7.258898571801109
8200	-9.614224674820301	6.544434294555849
8300	-4.043355671466337	5.08963140706647
8400	-9.172113615724767	9.903338146777784
8500	-9.869962970045128	3.263082862212202
8600	-11.95410393059184	5.326043218108346
8700	-8.077776943809646	3.127232516147715
8800	-10.720134471036916	5.972587585972701
8900	-9.098614384216988	4.103726119662213
9000	-8.618733318035893	5.192837689451866
9100	-5.537792073177368	5.093918076653369
9200	-12.291035269236056	11.747982344928854
9300	-9.958704633780675	10.687063788336394
9400	-8.734015167573132	11.56124098576778
9500	-8.384088387909943	5.8559000929493905
9600	-11.22228983937347	3.535501000955937
9700	-7.557784885170962	4.3810780120312165
9800	-6.4769969477219735	5.068415295932317
9900	-7.01055060991482	5.91549394488675
10000	-8.853141420128487	6.591801296927702
10100	-6.276445836340411	3.986192963916611
10200	-5.830447281434339	5.093461508441074
10300	-6.19306998275203	5.988749342781776
10400	-10.625352630221881	6.937895726326439
10500	-7.933289012545418	7.07583189013453
10600	-6.889275361501598	7.144625387933326
10700	-7.161488389220744	7.253683055835164
10800	-7.39623894018416	5.901456012886061
10900	-6.3965319302066534	4.053655432623003
11000	-6.88908356993272	5.330404820406337
11100	-6.292443918176169	6.3072650174210425
11200	-13.737861299494188	4.4465410214618455
11300	-9.98979278788251	7.05831867754919
11400	-5.526592804097451	3.2848229830520927
11500	-4.791452078675836	6.635711162768336
11600	-6.91145267754203	3.612303832268251
11700	-7.543022312263119	8.399365266595662
11800	-12.559567814420529	6.606294128243639
11900	-9.472025597216875	3.4248072420103983
12000	-7.700280757342707	4.527210009545491
12100	-4.585123237533045	4.163468930447325
12200	-8.766818739195257	7.054632953080737
12300	-7.836983020088937	3.939620524000659
12400	-6.627907966514977	5.84050938089904
12500	-6.967302086733323	4.5528252604574355
12600	-9.097416465448559	6.736791461401636
12700	-5.745032794731048	4.305182815449211
12800	-5.721578738771084	8.441540849360436
12900	-8.76143531713659	8.557208557906584
13000	-5.8555530307268056	3.8770795986044746
13100	-7.757246035121559	11.035417229865523
13200	-7.861478505946203	3.612948668031709
13300	-9.158556816190382	4.229167267578417
13400	-5.388714416269591	4.039663953974406
13500	-10.933043937087799	4.508777230714113
13600	-10.585083465558133	5.59756122207839
13700	-5.825592282563882	6.354389008617542
13800	-6.524691361137677	5.95759081539687
13900	-9.49701212611689	3.65832140630289
14000	-8.438539609466405	2.9619647480415914
14100	-6.047526420651762	3.218927290204293
14200	-7.145803493239168	3.7456349882024242
14300	-6.17269979179978	3.8156728295880584
14400	-5.527908769536458	5.417175748383188
14500	-9.824760535637349	3.4496920648026657
14600	-8.439390208554597	4.3745261585181305
14700	-5.293813276666203	4.431663509561853
14800	-9.411579290042058	4.972706095689469
14900	-9.606620534817262	3.1220672976458848
15000	-10.351467401901372	7.001788518938506
15100	-6.528889851655957	2.507313048191291
15200	-7.839371440000906	4.484552110156929
15300	-5.31985786241763	3.0982087778666085
15400	-8.120539192522692	3.0832205931906436
15500	-6.799810337711798	4.092339585572497
15600	-6.655356025174377	6.959485247720495
15700	-8.197161799422926	3.6555045322589375
15800	-6.459021599510992	4.145174611355631
15900	-7.076446193305982	6.257127208273842
16000	-7.066231786716587	7.008702763932956
16100	-8.126458331888855	4.064729517275935
16200	-12.313092854159638	4.276696444978428
16300	-7.048792966111523	3.2647494300296227
16400	-6.087516100746973	5.797906872707732
16500	-6.689361359779766	4.772804569071708
16600	-7.718121553490868	4.130174388026596
16700	-7.2202822750289375	8.361527482475848
16800	-7.628992836047057	5.678342785971115
16900	-4.017930308082222	4.462818910225347
17000	-5.437225653321588	4.625889138424639
17100	-7.433294627581281	2.170571096191754
17200	-7.508459472352664	4.635096553585717
17300	-6.450109316267242	4.026403760884245
17400	-8.05664349960801	3.422939914273254
17500	-7.065155511961999	6.312219186145164
17600	-10.324118345338915	4.762708951430775
17700	-7.524019379918782	6.348439736420026
17800	-8.93624916283959	4.72456738719282
17900	-8.257198017264525	3.8815474066271944
18000	-6.7096397606661125	4.267092812776572
18100	-5.999803843913158	3.7734793199942844
18200	-6.640157977227906	5.06303396882544
18300	-9.19940502238007	3.4808236176257847
18400	-7.420088055100203	5.637986216749693
18500	-8.566836140231718	7.447177603003678
18600	-9.141537027540203	2.499053237751441
18700	-5.852058948811207	4.341659327876362
18800	-5.431420303862443	4.453707237747828
18900	-5.599856396394884	5.850520559658911
19000	-8.046287311343454	4.246604738849321
19100	-6.4128922268769895	8.10449302990546
19200	-8.037302812707464	5.4649492155403046
19300	-8.476783210040962	2.617187203147822
19400	-7.914824537089924	3.6017601723924346
19500	-9.127105781182504	3.4437483517252074
19600	-9.550936959541296	4.851062455065737
19700	-6.262394907372536	10.291981111540112
19800	-8.824066647927967	5.057121039499112
19900	-8.656614415550871	5.304560485584754
20000	-7.440223680125035	9.317500159346825
20100	-8.558428336267411	5.384240011841664
20200	-8.745175221501807	6.140230468727826
20300	-7.721451482507067	4.066807471820767
20400	-8.566125125511928	4.11998354715444
20500	-9.597647916833466	3.8769615126503916
20600	-5.825243620736271	4.648770619056004
20700	-7.357956906152164	4.089955965826762
20800	-8.663335724605952	4.1666080228333975
20900	-10.146691538644983	8.691737505418986
21000	-7.499729675058626	3.741858209912317
21100	-9.911896049592167	7.449792364872551
21200	-7.757248689886867	6.351783349704148
21300	-5.529941568432005	3.0128545118001897
21400	-6.7890473205934745	4.711995332532189
21500	-7.5910462358509045	7.76381399786623
21600	-8.882444236151676	3.28857634327209
21700	-14.541902637808679	4.475191814900263
21800	-8.010687382969182	6.367694336928897
21900	-8.154681428673126	6.844957261391095
22000	-5.213230752740854	5.0016103005357335
22100	-6.3666904705362795	8.051640341377784
22200	-7.0826294287072376	4.074383598239732
22300	-11.7701898879865	3.1680288172322317
22400	-5.9382214072890065	4.274340128619393
22500	-7.041635461054174	7.292538926513085
22600	-8.596810942393054	3.9841607580283647
22700	-7.70797968759889	5.188992990503009
22800	-6.765606099979206	5.092856164704308
22900	-10.90810668316293	6.219375911519725
23000	-7.299287582431103	3.6551008743373856
23100	-8.38142527697852	4.518702057779733
23200	-5.589427081088265	4.233907388738824
23300	-5.765070431952552	5.658346908628384
23400	-5.059691424749723	4.605457102250395
23500	-7.718381962313688	5.231658474922923
23600	-10.884460895983397	6.533298993100524
23700	-10.432363842498605	6.1317182393296195
23800	-7.8399351856255555	5.830298850581489
23900	-7.775227993268727	5.318961594083559
24000	-5.775931241702792	7.631303052988335
24100	-5.4931505258227755	3.608598807471195
24200	-6.131316519869968	4.89381137666996
24300	-5.854608525724755	3.177888972263
24400	-6.087455748850593	3.671804030606417
24500	-6.301278367944746	4.349006979051142
24600	-6.019060097772033	4.472715013963946
24700	-5.961952222180446	3.2923740378723028
24800	-8.297524426103239	5.525104591469726
24900	-6.523039831659254	8.063265133990242
25000	-5.070531558941466	2.85549538559815
25100	-4.737613108982417	4.204434284855228
25200	-5.988248342902259	2.721093904535822
25300	-10.88812015198794	6.771605926530066
25400	-8.499185136042986	6.347826186700573
25500	-7.090384306992194	3.857555631544568
25600	-6.444631263383087	5.087615752647482
25700	-5.765160324350229	5.8278949551406765
25800	-5.84837243706272	6.836594872899948
25900	-6.011754157510843	6.149942354693921
26000	-5.692655815623019	6.035932149061362
26100	-4.623773664843308	5.285912081591157
26200	-6.371006296163053	4.147269321932554
26300	-6.802246391681155	7.1647298406811695
26400	-4.304208749476763	4.490981319616412
26500	-5.820039240518106	7.568070317272923
26600	-7.269134303830292	4.505665423883714
26700	-8.6285080912107	5.902840283198283
26800	-13.642992542686585	5.204952431802102
26900	-11.482160060654138	5.086787741974696
27000	-7.361619969555329	2.9954297188023538
27100	-9.030170665147763	4.503138161742088
27200	-5.28854481098048	5.014672889682342
27300	-6.328807378817787	4.623293627331092
27400	-6.1652986303182145	6.8519040034734955
27500	-7.498697684112279	4.126493448057169
27600	-4.6228967316780345	4.037616203540809
27700	-8.759091114213964	4.87536732183698
27800	-4.438553517556969	3.822841190958449
27900	-6.044705293347032	6.559760195883409
28000	-4.181419746617722	4.8325218745581635
28100	-7.884661047241819	7.935886850391051
28200	-8.325041232929197	7.505744933615918
28300	-7.5272258613519964	5.759720360125774
28400	-4.613649713766832	4.6612633996673
28500	-7.463277962232685	7.076751381339246
28600	-7.603985669872836	5.999627509071413
28700	-8.854367745898873	7.19082340655434
28800	-6.479543318313885	8.152503476276141
28900	-7.289520655511862	4.720041756241377
29000	-6.003802670824337	2.6137382955373885
29100	-6.752549613176153	5.339565502547417
29200	-6.191810317975601	4.786077604233967
29300	-8.020423589252196	6.4463920150428216
29400	-5.7179661615419	5.22223849034285
29500	-7.409265487751654	7.232165120096412
29600	-6.657662928934542	7.896985598208566
29700	-10.630631352081956	4.300785808161306
29800	-8.435540505564948	7.6860651299417455
29900	-6.263200423653882	3.1213057115695992
30000	-4.551776662380914	4.692371419315257
30100	-5.792906481951384	3.6348210376078125
30200	-7.859563908631189	3.9471825029305636
30300	-7.451952700905243	4.04234311376022
30400	-9.91542486258382	12.211599024439266
30500	-7.370531872950352	3.3954681905150785
30600	-8.952293581027298	3.8811063714080616
30700	-10.479638895050043	8.565460183325907
30800	-6.498593892070546	3.408369976385939
30900	-5.318467346788972	5.334232290205362
31000	-7.564296977048605	4.6179700430782065
31100	-9.154433179500282	5.088162609139684
31200	-10.085370318339509	4.140816373254928
31300	-7.670990252419679	5.5636986923553176
31400	-5.56230665122971	5.095552418745173
31500	-6.245582852210537	7.5666378208761165
31600	-3.3447618830273043	3.744040532437749
31700	-12.4765475932595	11.018687377600845
31800	-7.5311501035779695	6.90109575553358
31900	-12.360062601425774	8.948601086899734
32000	-9.240097899387383	11.355092434481707
32100	-4.967083285055876	5.200881960501568
32200	-6.3884966248409	4.7827350269706566
32300	-5.684939082124705	6.529094102357607
32400	-5.439732259262081	3.9190214819181386
32500	-10.177488761234219	6.7832565213414355
32600	-6.527853754471964	5.945058665315226
32700	-7.548195333832325	5.221218143138303
32800	-13.302439920964003	5.885489701887495
32900	-7.751653129270101	5.6227957235526445
33000	-9.168953804639168	7.582531682690049
33100	-6.993595355174681	5.090241580522627
33200	-3.964413958709883	4.176997421599272
33300	-5.637929995289385	5.962627939117706
33400	-5.265407415535154	5.11324913250779
33500	-8.040761140431595	4.478731228557336
33600	-7.194737929947314	5.173018010506391
33700	-6.10032975618839	5.432315857665631
33800	-11.39379004786045	9.500815715443983
33900	-7.68437036940114	4.241423614546967
34000	-7.97015151024322	4.772960838528363
34100	-4.410241364577671	5.151773275479527
34200	-4.824450514707391	4.535582156945632
34300	-5.481021731709051	4.307320874181996
34400	-8.720773310392131	7.160380060776438
34500	-7.307066993801847	5.607853352132328
34600	-4.732235238574899	6.893973298624858
34700	-9.656596400421584	4.821154933839104
34800	-9.136872540726193	4.679529274536026
34900	-6.18532190612032	2.8606370747356737
35000	-6.055484430671243	5.028598901102351
35100	-6.8951686013245626	6.2167175693548895
35200	-7.405202525614693	7.358102299853872
35300	-6.75457023956987	4.72934018953414
35400	-7.725460593824239	5.934553517443374
35500	-9.938585934792377	6.670402977061076
35600	-14.059372397198812	6.340490738192804
35700	-8.497852609465658	4.9891907841864995
35800	-4.923848306476267	3.647941356460981
35900	-7.450080896861985	5.366462436975146
36000	-4.393231717767182	6.064879428514388
36100	-4.739300733412227	5.758345605589412
36200	-8.817216717229524	3.4592735724135504
36300	-6.199418796539177	4.021735752951882
36400	-7.828797561109472	2.5359025925736374
36500	-15.860717577337375	16.793048972896912
36600	-7.794791657366486	3.3680003050677376
36700	-8.832175868200842	3.8035281063525335
36800	-7.778152034729769	6.161006540250542
36900	-6.9123616818122064	6.025097618829257
37000	-5.65664457569693	5.066868735513552
37100	-10.419898657089732	7.581097754825057
37200	-11.388664452430907	9.14449584017474
37300	-5.442066287462049	3.998054290721802
37400	-5.470146165252353	3.089214555341127
37500	-10.115560074804236	5.266773862329314
37600	-7.501030232100173	5.292055030679395
37700	-3.6549028447881557	3.3794569839160573
37800	-6.581667119164645	6.993520407737849
37900	-5.314490606517252	6.969158690740814
38000	-5.587485721191292	5.928699639645575
38100	-7.382990051058124	7.802408161797922
38200	-8.180576774999391	5.395136165864891
38300	-8.29476201204664	6.135900972514646
38400	-7.273898560047232	3.338026475222584
38500	-6.236631731146368	7.691175489083036
38600	-4.52192729296854	3.9741940820041703
38700	-6.456263516304303	2.806449300018345
38800	-10.445580075164676	8.066452770166192
38900	-6.792764318180246	5.599978601400951
39000	-5.877133173655978	4.246456433629709
39100	-8.586383053687456	4.4676005017016145
39200	-4.968193444244404	4.5932897478811965
39300	-7.150517227593702	6.60944516959863
39400	-10.308772151146313	6.044002879001624
39500	-6.590973067300966	3.615395642179001
39600	-5.135708351687564	6.301550590801653
39700	-4.970719072640305	5.604485506777378
39800	-4.847056786898289	4.086693619454013
39900	-6.981676595119762	4.392388193802119
40000	-5.674925662446235	5.413160735829879
40100	-4.542367645398061	5.0162453653485
40200	-6.210435699898152	7.131644715258798
40300	-6.385676907993545	3.9681283075786626
40400	-11.497042427669196	5.728257346254609
40500	-7.698298421588879	4.11910202328553
40600	-10.289917559149432	3.432065256489786
40700	-7.707229289033486	4.917725407981739
40800	-5.07431319109882	4.2977352458004985
40900	-7.14785122101199	4.50790556017774
41000	-6.655856118485685	3.1940220459361752
41100	-8.480894189420084	4.558011188868876
41200	-11.846437610054043	14.647702319706383
41300	-7.3387911229682965	8.746618483790794
41400	-6.5714114623516275	4.603152692140856
41500	-8.455986023136361	5.162459240487211
41600	-8.791921435500376	4.186008944775265
41700	-6.876003255109996	4.547328763082856
41800	-5.323590209741936	4.647358848854018
41900	-4.437016211725444	3.9595563497530484
42000	-6.16200115066367	4.168811048536674
42100	-7.49183575225406	5.713139366771773
42200	-5.078956895263353	4.173794240505628
42300	-7.810585020866612	6.126564857827802
42400	-7.641566783967617	4.437650757109301
42500	-7.691385265720302	4.5489454235271305
42600	-5.829300566193906	5.77574839766474
42700	-4.9953288776204126	6.209656742318425
42800	-6.822033935122442	3.543389866062311
42900	-5.3357055923795205	6.545137705513307
43000	-5.4558618254550515	5.250997385354395
43100	-5.56038112311099	5.122981572432796
43200	-7.3834420429929795	5.372703467193165
43300	-6.005019884271698	3.2853631694405165
43400	-10.64695414485843	5.4631048360843
43500	-9.065126615498349	6.694806378952538
43600	-6.986876332697881	7.54261118743425
